,"time, s","x_all, m^2","y_all, m^2","z_all, m^2","r_all, m^2","x_2, m^2","y_2, m^2","z_2, m^2","r_2, m^2","x_5, m^2","y_5, m^2","z_5, m^2","r_5, m^2"
183,1.3725e-08,3.8217796631476704e-20,3.4499425092757266e-20,3.585358388023846e-20,1.0857080560447245e-19,5.0045170308410815e-20,4.533198915835234e-20,4.740577853822888e-20,1.4278293800499202e-19,1.458614961682125e-20,1.2855454313257733e-20,1.2771757444449022e-20,4.0213361374528e-20
184,1.38e-08,3.8300205998758153e-20,3.469130851158459e-20,3.566490929551351e-20,1.0865642380585625e-19,5.0202271204193626e-20,4.567566678994895e-20,4.6985367261444823e-20,1.4286330525558738e-19,1.4519321808991582e-20,1.2744045779618274e-20,1.3046103633115594e-20,4.030947122172545e-20
185,1.3875e-08,3.85631838402764e-20,3.523802108560172e-20,3.579298075831891e-20,1.0959418568419704e-19,5.070691136020181e-20,4.6602856406370633e-20,4.7345503426676314e-20,1.4465527119324874e-19,1.429944701823794e-20,1.2530547388049768e-20,1.2710498942440727e-20,3.9540493348728436e-20
186,1.395e-08,3.8342255801108795e-20,3.5376855483205005e-20,3.6335757457875244e-20,1.1005486874218905e-19,5.026579013326251e-20,4.6754955016034165e-20,4.800783116410208e-20,1.4502857631339876e-19,1.451847528979386e-20,1.2642879268196752e-20,1.301440706437907e-20,4.017576162236968e-20
187,1.4025e-08,3.8624475956784076e-20,3.5878259301000443e-20,3.68128071182442e-20,1.1131554237602871e-19,5.0894244153785976e-20,4.7436096787399744e-20,4.882894843468458e-20,1.471592893758703e-19,1.4108903953790047e-20,1.2785158229542454e-20,1.2803993511372109e-20,3.969805569470461e-20
188,1.41e-08,3.9056773696152554e-20,3.600026068651444e-20,3.678432218638038e-20,1.1184135656904739e-19,5.12436854240143e-20,4.761856541703373e-20,4.8585472344154265e-20,1.474477231852023e-19,1.470675280239754e-20,1.2786343226902666e-20,1.32050709922345e-20,4.0698167021534706e-20
189,1.4175e-08,3.9414121749505005e-20,3.6096095315377526e-20,3.6756802880083754e-20,1.122670199449663e-19,5.155702648562912e-20,4.7753774258511364e-20,4.8725584555647024e-20,1.480363852997875e-19,1.5152028888069517e-20,1.2803506333295633e-20,1.2842616055667328e-20,4.079815127703248e-20
190,1.425e-08,3.9281930489900064e-20,3.5595844882286916e-20,3.633603401658902e-20,1.11213809388776e-19,5.16042117340264e-20,4.712353251110484e-20,4.824648878585424e-20,1.4697423303098548e-19,1.4661434957202317e-20,1.2562984639551107e-20,1.2538387085029797e-20,3.9762806681783224e-20
191,1.4325e-08,4.018679601589665e-20,3.6022207205618336e-20,3.6769016999926547e-20,1.1297802022144154e-19,5.26649709891067e-20,4.770521506150558e-20,4.8810266699341486e-20,1.4918045274995375e-19,1.5254817504971122e-20,1.2679009868562382e-20,1.2710035666915852e-20,4.064386304044936e-20
192,1.44e-08,3.994134192043973e-20,3.6671307584025006e-20,3.729659929659331e-20,1.1390924880105804e-19,5.22602838716182e-20,4.85188045265746e-20,4.968699558689855e-20,1.5046608398509135e-19,1.5327518451581206e-20,1.2999453341391762e-20,1.254000670873731e-20,4.086697850171028e-20
193,1.4475e-08,4.0167556645856066e-20,3.651703415376807e-20,3.731650629113122e-20,1.1400109709075537e-19,5.2602669538272505e-20,4.8374897204998743e-20,4.9686700797698736e-20,1.5066426754097e-19,1.5321618190891177e-20,1.2824467940078627e-20,1.2600277814141827e-20,4.0746363945111635e-20
194,1.455e-08,4.0310825591291355e-20,3.6767538898850296e-20,3.802675636234794e-20,1.151051208524896e-19,5.2661425840366014e-20,4.88697655537935e-20,5.049606046336022e-20,1.5202725185751976e-19,1.5633747359253498e-20,1.2586722750399303e-20,1.3112502269895667e-20,4.133297237954847e-20
195,1.4625e-08,4.057607276235069e-20,3.706868119163553e-20,3.8377438055155565e-20,1.1602219200914177e-19,5.291717537120858e-20,4.8945301959597244e-20,5.0480331420820244e-20,1.5234280875162608e-19,1.5917971260667843e-20,1.3338636180649545e-20,1.4195289787431024e-20,4.345189722874841e-20
196,1.47e-08,4.067095532508444e-20,3.7533219731934235e-20,3.8704941351182316e-20,1.16909116408201e-19,5.2978099629840613e-20,4.953419590523978e-20,5.1120843887759844e-20,1.5363313942284023e-19,1.6080704106792304e-20,1.3554706791911658e-20,1.3897386087669008e-20,4.353279698637297e-20
197,1.4775e-08,4.117277800620517e-20,3.7267157004308144e-20,3.8614727308810976e-20,1.170546623193243e-19,5.383751575533289e-20,4.9452286727881487e-20,5.095398875621869e-20,1.5424379123943308e-19,1.586803832386597e-20,1.2920696638652807e-20,1.3960304534010046e-20,4.2749039496528817e-20
198,1.485e-08,4.1326216481140794e-20,3.7892389196834343e-20,3.8376508930544224e-20,1.1759511460851937e-19,5.4056816929718946e-20,5.0163006717443856e-20,5.0713920202760423e-20,1.5493374384992322e-19,1.5889880037985605e-20,1.3375120205460278e-20,1.372578289250287e-20,4.299078313594875e-20
199,1.4925e-08,4.150405161908959e-20,3.8027948300925507e-20,3.8723568326854784e-20,1.1825556824686988e-19,5.4041361402793005e-20,5.0421934026934514e-20,5.0944473960774666e-20,1.5540776939050217e-19,1.6453918984854066e-20,1.3264183852278607e-20,1.4305626015331243e-20,4.4023728852463915e-20
