,"time, s","msd_all, m^2","msd_x_all, m^2","msd_y_all, m^2","msd_z_all, m^2","msd_Cr, m^2","msd_x_Cr, m^2","msd_y_Cr, m^2","msd_z_Cr, m^2","msd_Ta, m^2","msd_x_Ta, m^2","msd_y_Ta, m^2","msd_z_Ta, m^2"
344,2.58e-08,2.118516997408736e-19,7.370711607802344e-20,6.491931435801744e-20,7.322526930483275e-20,2.734743556133738e-19,9.540517240989077e-20,8.409161878721792e-20,9.397756441626513e-20,8.87267447456243e-20,3.03533824305621e-20,2.6612151406704756e-20,3.1761210908357477e-20
345,2.5875e-08,2.1243332958222112e-19,7.391494324365606e-20,6.509012223116043e-20,7.34282641074046e-20,2.7425427521846315e-19,9.568176862238283e-20,8.43173895914677e-20,9.425511700461241e-20,8.89121823441828e-20,3.0423805817020217e-20,2.6673140767108863e-20,3.18152357600537e-20
346,2.595e-08,2.130126155535746e-19,7.412795140595251e-20,6.525338968761168e-20,7.363127446001048e-20,2.750172981356216e-19,9.596907157683873e-20,8.452617846100683e-20,9.452204809777591e-20,8.912435328514911e-20,3.048836950201371e-20,2.6745454306394457e-20,3.1890529476740936e-20
347,2.6025e-08,2.1358130169993486e-19,7.432675628742688e-20,6.542478683327417e-20,7.382975857923377e-20,2.757732331598483e-19,9.623475706051345e-20,8.474892497666105e-20,9.478955112267369e-20,8.931890739624071e-20,3.055354380526353e-20,2.6814253003811825e-20,3.195111058716537e-20
348,2.61e-08,2.1415275754375258e-19,7.453049623668335e-20,6.559374356175961e-20,7.402851774530966e-20,2.7652260327438386e-19,9.650347804811583e-20,8.496494613535351e-20,9.505417909091464e-20,8.953488218743259e-20,3.0627448593918744e-20,2.6889172794598412e-20,3.20182607989154e-20
349,2.6175e-08,2.14745757850036e-19,7.473666351643888e-20,6.577402781478869e-20,7.423506651880854e-20,2.773075375920018e-19,9.677497601566664e-20,8.519844403391412e-20,9.533411754242098e-20,8.974438934216328e-20,3.0703082097083385e-20,2.6963133689465684e-20,3.207817355561425e-20
350,2.625e-08,2.1532381248850502e-19,7.493821077886324e-20,6.594934593976575e-20,7.443625576987602e-20,2.780803246829043e-19,9.704244924076526e-20,8.542958483021696e-20,9.560829061192191e-20,8.993335941258645e-20,3.0772906195805063e-20,2.7026915500446273e-20,3.2133537716335103e-20
351,2.6325e-08,2.159118188525402e-19,7.51441020080773e-20,6.612965853199995e-20,7.463805831246292e-20,2.7885132183966023e-19,9.731457839902719e-20,8.56574044232892e-20,9.587933901734397e-20,9.015574159507176e-20,3.084645093787869e-20,2.7112306878115476e-20,3.219698377907759e-20
352,2.6399999999999998e-08,2.1648611309262116e-19,7.535143807564339e-20,6.629500222564394e-20,7.483967279133384e-20,2.796005131865016e-19,9.758128973544359e-20,8.587104840149193e-20,9.614817504956609e-20,9.038058321754363e-20,3.093515243506604e-20,2.718114433913518e-20,3.2264286443342435e-20
353,2.6475e-08,2.1709091733954015e-19,7.556218425530111e-20,6.648771325780257e-20,7.50410198264365e-20,2.803991962906413e-19,9.786181050232257e-20,8.611706741609665e-20,9.642031837222195e-20,9.059800841966437e-20,3.1006485718771854e-20,2.7267343523554745e-20,3.232417917733781e-20
