,"time, s","msd_x_all, m^2","msd_y_all, m^2","msd_z_all, m^2","msd_all, m^2","msd_x_Cr, m^2","msd_y_Cr, m^2","msd_z_Cr, m^2","msd_Cr, m^2","msd_x_Ta, m^2","msd_y_Ta, m^2","msd_z_Ta, m^2","msd_Ta, m^2"
227,1.7025e-08,4.90750891289122e-20,7.337426420522034e-20,5.302864442550077e-20,1.754779977596333e-19,6.402331217502424e-20,8.65884896431752e-20,6.669175763256841e-20,2.173035594507679e-19,1.9207838784825066e-20,4.6971622363369044e-20,2.572910377934805e-20,9.190856492754217e-20
228,1.71e-08,4.791058321637956e-20,7.4837616543444e-20,5.365169661238084e-20,1.763998963722044e-19,6.289008298033507e-20,8.79177754512686e-20,6.740673616701249e-20,2.1821459459861613e-19,1.7980840523945005e-20,4.8702845913161655e-20,2.616848281474771e-20,9.285216925185438e-20
229,1.7175e-08,4.9091137415655766e-20,7.678574352433728e-20,5.3315306867307875e-20,1.7919218780730091e-19,6.459976830736667e-20,9.008113888936946e-20,6.712104504533596e-20,2.218019522420721e-19,1.8104165926944327e-20,5.0220920363345235e-20,2.5730794843630665e-20,9.405588113392023e-20
230,1.725e-08,4.916043110616651e-20,7.515756845945448e-20,5.2690098102914736e-20,1.7700809766853575e-19,6.476852430805579e-20,8.857494563083597e-20,6.679457593833004e-20,2.201380458772218e-19,1.797472925942288e-20,4.8349019931479375e-20,2.4508690240356402e-20,9.083243943125865e-20
231,1.7325e-08,5.0532186634373463e-20,7.675087212588022e-20,5.151065606623864e-20,1.787937148264923e-19,6.624404595690194e-20,8.98642128068422e-20,6.584393488159638e-20,2.2195219364534056e-19,1.913915521455582e-20,5.05498027574737e-20,2.2872093120709423e-20,9.256105109273895e-20
232,1.74e-08,5.0053616199782354e-20,7.454033585142633e-20,5.3816589930913256e-20,1.7841054198212194e-19,6.624094380110424e-20,8.798085012204586e-20,6.83120339701076e-20,2.225338278932577e-19,1.7710576871359905e-20,4.768555831462198e-20,2.4854013266663598e-20,9.025014845264549e-20
233,1.7475e-08,5.0134034555930045e-20,7.213820909115497e-20,5.501632293430807e-20,1.7728856658139307e-19,6.654714972805664e-20,8.564400558577956e-20,6.985567496552516e-20,2.2204683027936135e-19,1.733986107724741e-20,4.5152994610684354e-20,2.5366601981309817e-20,8.785945766924157e-20
234,1.7549999999999998e-08,5.00572147751081e-20,7.533070931721762e-20,5.315566639966374e-20,1.7854359049198944e-19,6.614767193707418e-20,8.873729830568859e-20,6.79991977553536e-20,2.2288416799811634e-19,1.7907727125320403e-20,4.854371608439382e-20,2.3497594960463123e-20,8.994903817017734e-20
235,1.7625e-08,5.0153686484650495e-20,7.114396662772771e-20,5.502827899317214e-20,1.7632593210555032e-19,6.647014416542169e-20,8.459833231998456e-20,7.008307274884383e-20,2.211515492342501e-19,1.755263920451585e-20,4.4261513301206675e-20,2.494809537588285e-20,8.676224788160539e-20
236,1.77e-08,5.009365962845983e-20,7.375785597649157e-20,5.568280036132077e-20,1.7953431596627214e-19,6.621397219584204e-20,8.686565524013824e-20,7.070209941075911e-20,2.237817268467394e-19,1.7884519479178593e-20,4.756785861963503e-20,2.5673536830900048e-20,9.112591492971367e-20
237,1.7775e-08,5.0722973530710193e-20,6.84189247245495e-20,5.471472287068604e-20,1.7385662112594573e-19,6.700422967417391e-20,8.21247076871523e-20,6.951053809702247e-20,2.186394754583487e-19,1.8192260572187986e-20,4.103412790669274e-20,2.5151990494627122e-20,8.437837897350786e-20
238,1.785e-08,5.051626524075008e-20,7.59785527799575e-20,5.466609531837431e-20,1.8116091333908188e-19,6.68016382892024e-20,8.958173897915865e-20,6.947157047563622e-20,2.258549477439973e-19,1.7977326513080678e-20,4.879874910460051e-20,2.508406194751702e-20,9.186013756519822e-20
239,1.7925e-08,5.0352068711158734e-20,8.113396584136505e-20,5.606674343865382e-20,1.875527779911776e-19,6.668578525659723e-20,9.462963718600282e-20,7.087706916229291e-20,2.3219249160489295e-19,1.771653741040953e-20,5.416898188518452e-20,2.6475018408804646e-20,9.83605377043987e-20
240,1.8e-08,5.132839694538452e-20,7.379897538532682e-20,5.716063835735063e-20,1.82288010688062e-19,6.79390096607818e-20,8.751786173795458e-20,7.217174313860152e-20,2.276286145373379e-19,1.813961411754976e-20,4.63879973799788e-20,2.7167747358874755e-20,9.169535885640333e-20
241,1.8075e-08,5.2124859852603446e-20,7.672958488388908e-20,5.214392299389381e-20,1.8099836773038631e-19,6.846313353353206e-20,9.046392375284701e-20,6.700101951805329e-20,2.259280768044324e-19,1.9480223181529287e-20,4.928773202657669e-20,2.245874771222362e-20,9.122670292032961e-20
242,1.815e-08,5.607335425374327e-20,7.33080133867571e-20,5.679945023216523e-20,1.8618081787266558e-19,7.178563523518191e-20,8.71094479857278e-20,7.213679153749857e-20,2.310318747584083e-19,2.4679480339657863e-20,4.5732100115766777e-20,2.6154723366235496e-20,9.656630382166014e-20
243,1.8225e-08,5.580279351016867e-20,8.026448473502516e-20,5.640552139318587e-20,1.9247279963837968e-19,7.170851204125408e-20,9.41701615519341e-20,7.207444007373595e-20,2.3795311366692415e-19,2.4022422304503838e-20,5.2480290626240296e-20,2.5098287388883662e-20,1.0160100031962779e-19
244,1.83e-08,5.695629706829565e-20,7.904743604207462e-20,5.591582956581015e-20,1.9191956267618043e-19,7.275600567387389e-20,9.299101529909691e-20,7.174757082775092e-20,2.3749459180072175e-19,2.5387738663009448e-20,5.1187511081266414e-20,2.4283268411580803e-20,1.0085851815585666e-19
245,1.8375e-08,5.649929203323623e-20,8.283672310769539e-20,5.775394463758063e-20,1.9708995977851224e-19,7.251337822720806e-20,9.710982961469578e-20,7.33960629922487e-20,2.430192708341525e-19,2.4502397157390158e-20,5.43183872548411e-20,2.650025894065595e-20,1.0532104335288722e-19
246,1.845e-08,5.506609584254763e-20,7.768303278638884e-20,5.640062189362361e-20,1.8914975052256007e-19,7.156172921562287e-20,9.193166142145236e-20,7.23796656874109e-20,2.358730563244861e-19,2.2107047130328933e-20,4.921360486906469e-20,2.447374337595874e-20,9.579439537535237e-20
247,1.8525e-08,5.575084361706609e-20,7.747035945776875e-20,5.722674339703661e-20,1.9044794647187147e-19,7.209188683720557e-20,9.15025032831931e-20,7.292224616252677e-20,2.3651663628292545e-19,2.3100673276826478e-20,4.943347833782905e-20,2.586639314489513e-20,9.840054475955066e-20
248,1.86e-08,5.756957044868393e-20,7.836938820273571e-20,5.884686628239718e-20,1.947858249338168e-19,7.395924581778302e-20,9.264253029136588e-20,7.484133503822382e-20,2.4144311114737275e-19,2.4822230795190997e-20,4.985098125611721e-20,2.6889167967532587e-20,1.015623800188408e-19
249,1.8675e-08,5.879360866706353e-20,8.136938209062483e-20,5.87970884227294e-20,1.989600791804178e-19,7.523540875305444e-20,9.612486598027746e-20,7.496836267182124e-20,2.463286374051532e-19,2.5942121385874673e-20,5.18872336157915e-20,2.6486124444563517e-20,1.043154794462297e-19
250,1.875e-08,5.797506151213443e-20,7.938958709065461e-20,5.868124567674978e-20,1.9604589427953882e-19,7.442751518672793e-20,9.389989992749336e-20,7.46034174176966e-20,2.429308325319179e-19,2.5102287861530575e-20,5.039730187173658e-20,2.68680001865377e-20,1.0236758991980486e-19
251,1.8825e-08,5.710821147282552e-20,7.583546695609651e-20,5.680311301540354e-20,1.8974679144432557e-19,7.386143669331554e-20,9.081355926360897e-20,7.288254012654228e-20,2.375575360834668e-19,2.3634482174854287e-20,4.590853642760971e-20,2.4675663924202514e-20,9.421868252666652e-20
