,"time, s","r_all, m^2","x_all, m^2","y_all, m^2","z_all, m^2","r_2, m^2","x_2, m^2","y_2, m^2","z_2, m^2","r_5, m^2","x_5, m^2","y_5, m^2","z_5, m^2"
326,2.445e-08,2.675816148233999e-19,7.104882130759982e-20,1.2196106274967731e-19,7.457173076612281e-20,3.284474344389131e-19,9.186715728137029e-20,1.4214500881875811e-19,9.443526833878476e-20,1.459688541463099e-19,2.945281017250768e-20,8.163259238118196e-20,3.4883451592620344e-20
327,2.4525e-08,2.682742258856583e-19,7.125941940425748e-20,1.222504087292862e-19,7.476439775211455e-20,3.2929258082570045e-19,9.212316984462493e-20,1.424808431691618e-19,9.468856781191359e-20,1.4635669248006621e-19,2.9572668036101415e-20,8.182905241680034e-20,3.495497202716444e-20
328,2.46e-08,2.688620776381214e-19,7.137691553181167e-20,1.2249387366663496e-19,7.499128843967468e-20,3.3004044242425806e-19,9.229010466784615e-20,1.4276499635400357e-19,9.498534140240814e-20,1.4662483705957117e-19,2.959138333227403e-20,8.19912203283964e-20,3.504223339890076e-20
329,2.4675e-08,2.694456580686207e-19,7.156438581900457e-20,1.2269400762737025e-19,7.518726462224586e-20,3.30791986840975e-19,9.25251253082057e-20,1.4301788485166832e-19,9.524897668110079e-20,1.4687281757229557e-19,2.968384578491714e-20,8.208594825147778e-20,3.510302353590074e-20
330,2.475e-08,2.7006883205688434e-19,7.173201954804236e-20,1.2294967420089564e-19,7.538713830794599e-20,3.3156793863414185e-19,9.273890045161305e-20,1.4331063238627977e-19,9.551840579624905e-20,1.471907343449022e-19,2.975928680516572e-20,8.226752532658322e-20,3.516392221315318e-20
331,2.4825e-08,2.7059637494054795e-19,7.186952871330903e-20,1.2318223260281866e-19,7.554461362442024e-20,3.3224473167296685e-19,9.291694227646186e-20,1.4358426861714624e-19,9.574352077935882e-20,1.4742006842245304e-19,2.98158098166189e-20,8.241800830075403e-20,3.518625030508015e-20
332,2.49e-08,2.7120085250289753e-19,7.198714646719612e-20,1.2348191703067047e-19,7.573178900503094e-20,3.3300994060729898e-19,9.307884484000215e-20,1.4392711804091305e-19,9.60039777263838e-20,1.4770339716929847e-19,2.984494444496846e-20,8.263144704340835e-20,3.522700568092162e-20
333,2.4975e-08,2.717938464376278e-19,7.211656638796148e-20,1.2376333837093737e-19,7.591394167872889e-20,3.3375796266855564e-19,9.325745096125984e-20,1.442486063439628e-19,9.625190536333297e-20,1.4798663764028545e-19,2.987608803154704e-20,8.283281271389625e-20,3.52777368948421e-20
334,2.505e-08,2.7249822666889743e-19,7.221041186519169e-20,1.2411931938918068e-19,7.616849541452513e-20,3.3461671759255155e-19,9.34005998521782e-20,1.4463908550344237e-19,9.657703223693102e-20,1.4838256999917442e-19,2.987142297713072e-20,8.31198648288491e-20,3.539128219319465e-20
335,2.5124999999999998e-08,2.73102316532817e-19,7.23120827530808e-20,1.2436650261590077e-19,7.642373116383535e-20,3.3537520247859653e-19,9.354925758895369e-20,1.4492378265962892e-19,9.690216223001398e-20,1.486781713716205e-19,2.987921193843634e-20,8.329209346602989e-20,3.550686596715431e-20
336,2.52e-08,2.7396090391397473e-19,7.251217585441633e-20,1.247427475121914e-19,7.670598054736708e-20,3.363971701825232e-19,9.379493952236837e-20,1.453439813220142e-19,9.725824933814075e-20,1.4921031720943344e-19,2.998821641630119e-20,8.358051667733049e-20,3.5641584115801794e-20
337,2.5275e-08,2.7474209934083286e-19,7.277829921750036e-20,1.2505111076480297e-19,7.691268935852949e-20,3.3733510684358046e-19,9.411149821610106e-20,1.4569000347916302e-19,9.753360514831616e-20,1.496783363031165e-19,3.015356762459322e-20,8.381363567341541e-20,3.571113300510787e-20
338,2.535e-08,2.7556596719830887e-19,7.304053422449679e-20,1.2535113810321686e-19,7.717429487059524e-20,3.3831150843566717e-19,9.442131958030828e-20,1.4602508001265324e-19,9.786510884270562e-20,1.5019743460882165e-19,3.032072285927195e-20,8.404363307713586e-20,3.5833078672413943e-20
339,2.5425e-08,2.764763510578152e-19,7.327306068835615e-20,1.257356295347108e-19,7.746766083474836e-20,3.393723794320786e-19,9.470178020461374e-20,1.4644175857260633e-19,9.822884065485843e-20,1.508071381147073e-19,3.045747462364609e-20,8.436381311719689e-20,3.598585037386431e-20
340,2.55e-08,2.7734764579309524e-19,7.349548977516318e-20,1.2612290357266857e-19,7.772925244526353e-20,3.404145292564477e-19,9.497607211771438e-20,1.468694699398248e-19,9.85689871989085e-20,1.5133705637315475e-19,3.057627935244846e-20,8.46702914757919e-20,3.609048554491438e-20
341,2.5575e-08,2.7817770619478227e-19,7.375414282433111e-20,1.264529440389477e-19,7.79706193315035e-20,3.4140080909997975e-19,9.528342831639911e-20,1.4723401986090402e-19,9.888336092267666e-20,1.5185498300724924e-19,3.073762122592183e-20,8.493138043374996e-20,3.618598134757745e-20
342,2.565e-08,2.7888708014830534e-19,7.400620262652463e-20,1.2682231044437806e-19,7.805856707740251e-20,3.4225662220017967e-19,9.558574065500067e-20,1.4762700308629638e-19,9.904387845888273e-20,1.5227176468137639e-19,3.0889274104784414e-20,8.525355932585775e-20,3.6128931250734204e-20
343,2.5725e-08,2.797829462207419e-19,7.432805758575361e-20,1.2723778392534006e-19,7.821710470964806e-20,3.432917236226865e-19,9.595556418213794e-20,1.4806355819361728e-19,9.927260124693155e-20,1.5288943199771512e-19,3.1115285616806106e-20,8.562691072915339e-20,3.6147235651755587e-20
344,2.58e-08,2.8044399420444304e-19,7.459619644399262e-20,1.2749415833116932e-19,7.835363942928113e-20,3.440781395142467e-19,9.626507717925959e-20,1.4834221298150852e-19,9.947084935347886e-20,1.5329998902489365e-19,3.1300757006144827e-20,8.583876788722991e-20,3.616046413151891e-20
345,2.5875e-08,2.812742076260945e-19,7.48844584718609e-20,1.27867058457462e-19,7.85226906967717e-20,3.450730203251165e-19,9.6606409813763e-20,1.4875067968897625e-19,9.971593082237751e-20,1.5380118928410324e-19,3.148298147427146e-20,8.614060431715149e-20,3.617760349268033e-20
346,2.595e-08,2.81998984740564e-19,7.511354519903957e-20,1.2815128652042648e-19,7.873415302109787e-20,3.459513405515426e-19,9.689266753940509e-20,1.490633960624653e-19,9.999527694967215e-20,1.5421918006355006e-19,3.1597837866629467e-20,8.636791140029814e-20,3.6253430796622404e-20
347,2.6025e-08,2.8274979045606604e-19,7.522280586821732e-20,1.2855022673055956e-19,7.897675785728899e-20,3.468532544285116e-19,9.704685688488743e-20,1.4949617575875242e-19,1.0031022178487186e-19,1.5466806458924582e-19,3.1617328934519114e-20,8.669923873086976e-20,3.635149692385692e-20
348,2.61e-08,2.833415255969103e-19,7.526775959842218e-20,1.288784355043544e-19,7.919533049413367e-20,3.475856905261739e-19,9.713617863534793e-20,1.498519667292632e-19,1.005975451615627e-19,1.5497867262301037e-19,3.157363328050225e-20,8.697233698271018e-20,3.6432702359797965e-20
349,2.6175e-08,2.83962812976003e-19,7.544258307713315e-20,1.2920125088747333e-19,7.931897901139659e-20,3.4836608798825047e-19,9.735855398440357e-20,1.5021038592559957e-19,1.007971480782474e-19,1.5528205059801626e-19,3.165344589327055e-20,8.722401427809221e-20,3.640459042665354e-20
350,2.625e-08,2.8442300064306516e-19,7.569774517750988e-20,1.2925040943642659e-19,7.94748460291286e-20,3.4898453348179046e-19,9.76599131182293e-20,1.5029540759886048e-19,1.0102921276470083e-19,1.5542603170943982e-19,3.181630415533031e-20,8.720151662359489e-20,3.6408210930514657e-20
